Family;Ploidy;He;Pop;Treat;PetalLength;CorollaDiam;CorollaLength;LongFil;ShortFil;Herkogamy;Height;Nstalk;StalkDiam;Nflowers ;Fruitset;Seedset;Fitness
155;4n;0;Ei09;Mount;1,84;3,9;3,18;4,6;3,24;2,92;6;5;1,37;35;0,31428571;0,80952381;0,008772753
154;6n;0;Ei18;Mount;1,68;4,42;3,06;5,17;3,72;4,21;10,5;7;1,82;63;0,42857143;0,62962963;0,043066241
154;6n;0;Ei18;Mount;1,92;4,64;4,15;5,72;4,35;4,16;NA;NA;NA;NA;NA;NA;0
77;4n;0;Ei09;Mount;1,51;3,92;3,53;4,4;3,15;3,06;NA;NA;NA;NA;NA;NA;0
154;6n;0;Ei18;Mount;2,17;4,69;4,97;5,64;4,05;4,03;14;6;1,48;35;0,74285714;0,927927928;0,062816664
154;6n;0;Ei18;Mount;2,1;4,98;4,21;4,83;3,19;3,76;11;6;1,26;43;0,79069767;0,826086957;0,090917621
154;6n;0;Ei18;Mount;2,65;5,68;4,33;5,66;4,27;4,63;11,5;6;1,43;41;0,73170732;0,807017544;0,064740101
101;4n;0,5;Ei08;Mount;2,14;5,45;3,73;5,34;3,49;4,35;NA;NA;NA;NA;NA;0,791666667;0
101;4n;0,5;Ei08;Mount;2,38;5,92;3,48;4,9;4,17;4,02;NA;NA;NA;NA;NA;0,897435897;0
101;4n;0,5;Ei08;Mount;2,52;5,79;3,64;4,6;3,37;3,68;11;1;1,08;20;0,4;0,666666667;0,015012197
28;6n;0;Ei16;Mount;1,97;5,09;2,86;3,95;3,05;3,09;7;2;0,62;13;0;NA;0
18;4n;0,5;Ei08;Mount;2,18;5,14;3,74;3,99;3,36;3,4;9,5;9;0,82;16;0,8125;0,85483871;0,032323138
147;4n;0,5;Ei08;Mount;2,06;5,15;3,39;4,44;3,74;3,12;9;1;1,13;9;0,77777778;0,765957447;0,011822105
147;4n;0,5;Ei08;Mount;1,81;4,86;3,46;4,38;3,76;3,57;8;6;1,05;20;0,75;0,784615385;0,035888534
111;4n;0,5;Ei08;Mount;1,73;4,29;2,87;3,58;2,78;2,94;10;11;1,09;30;0,7;0,967213115;0,058125352
147;4n;0,5;Ei08;Mount;2,07;5,01;3,15;4,5;3,06;3,31;NA;NA;NA;NA;NA;0,857142857;0
147;4n;0,5;Ei08;Mount;1,72;4,06;2,12;4,64;3,53;3,8;NA;NA;NA;NA;NA;NA;0
111;4n;0,5;Ei08;Mount;2,12;4,74;3,41;4,38;3,82;4,34;6,5;4;0,64;20;0,5;0,617647059;0,009851755
111;4n;0,5;Ei08;Mount;1,68;4;3,21;3,53;3,17;3,34;6,5;12;0,71;39;0,71794872;0,806451613;0,065678364
99;2n;0;Ei12;Mount;1,27;3,5;3,05;2,97;2,24;2,75;NA;NA;NA;NA;NA;NA;0
99;2n;0;Ei12;Mount;1,27;3,06;2,52;2,76;2,62;3,12;6,5;11;0,79;39;0,64102564;0,473684211;0,021110903
99;2n;0;Ei12;Mount;1,71;3,19;3,18;3,04;3,56;2,22;3,5;1;0,72;7;0,57142857;0,888888889;0,006004879
90;2n;0;Ei12;Mount;1,78;4,07;2,87;2,86;3,6;2,22;NA;NA;NA;NA;NA;NA;0
90;2n;0;Ei12;Mount;1,48;4,14;2,94;3,86;4,21;258;6;13;0,96;49;0,81632653;0,921568627;0,08819666
90;2n;0;Ei12;Mount;1,75;4,19;3,06;3,34;3,95;2,51;7;9;0,77;60;0,78333333;0,837837838;0,068352411
69;2n;0,5;Ei12;Mount;1,68;3,78;3,06;3,82;2,14;4,05;9,5;11;1,24;61;0,90163934;0,944444444;0,087727529
69;2n;0,5;Ei12;Mount;1,54;3,21;2,6;3,1;2,27;3,35;7;13;1,5;NA;NA;NA;0
98;2n;0;Ei12;Mount;1,71;3,78;3,06;3,43;2,67;4,12;5,5;4;0,73;25;0,2;NA;0
69;2n;0,5;Ei12;Mount;1,8;4,08;3,46;4;3,21;4;NA;NA;NA;NA;NA;NA;0
